player,Team,Format,matches,Innings,runs,wickets,average,bowling_average,bowling_strike_rate,economy,batting_position,5 wkts,image_url,role,strike_rate,100s,50s
Sean Abbot,Australia,Odi,29,29,374,35,19.68,36.31,38.0,5.72,10,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/397400/397407.jpg",fast-bowler
Sean Abbot,Australia,Odi,28,27,50,33,8.33,24.90,16.1,9.27,10,0,"",fast-bowler
Jason Holder,Windies,Test,69,122,3073,162,29.83,30.39,69.7,2.61,9,8,"",fast-bowler
Jason Holder,Windies,Odi,138,134,2237,159,24.85,36.96,40.2,5.5,9,2,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/405100/405134.jpg",fast-bowler	
Jason Holder,Windies,T20,84,81,726,97,17.28,26.63,18.6,8.56,9,1,"",fast-bowler
Roamrio Sephered,Windies,T20,68,64,723,73,24.93,27.83,16.6,10.00,8,0,"",fast-bowler
Roamrio Sephered,Windies,Odi,40,38,407,34,16.28,40.88,44.7,5.47,7,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_wide_w_1280,q_70/lsci/db/PICTURES/CMS/408000/408011.6.jpg",fast-bowler
Jofra Archer,England,Test,15,28,166,51,7.9,30.62,61.5,2.98,3,10,"",fast-bowler
Jofra Archer,England,T20,35,35,82,44,11.71,23.34,17.5,7.98,10,10,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/408500/408544.jpg",fast-bowler
Jofra Archer,England,Odi,36,36,207,65,18.81,24.38,29.1,5.01,10,10,"",fast-bowler
Bjorn Fortuin,South Africa,Odi,14,13,74,17,8.22,31.23,38.9,4.81,8,0,"",fast-bowler
Bjorn Fortuin,South Africa,T20,27,27,127,23,12.70,28.26,20.8,8.12,8,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/393300/393345.jpg",fast-bowler
Jaydean Seals,Windies,Test,23,43,218,89,9.47,23.82,41.8,3.41,9,3,"",fast-bowler
Jaydean Seals,Windies,Odi,26,25,55,34,11.00,31.64,32.0,5.92,9,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/403600/403629.jpg",fast-bowler
